""	"Axis1"	"Axis2"	"Axis3"	"sample_type"
"HMP2_J28569_1_ST_T0_B0_0120_ZN3TBJM-06_B44V8"	1.66242619276846	-0.724191425453428	1.04347526068335	"IS"
"HMP2_J28570_1_ST_T0_B0_0120_ZN3TBJM-07_B44V8"	2.29050058692383	-1.06767805743387	-1.38432872828297	"IS"
"HMP2_J28572_1_ST_T0_B0_0120_ZN3TBJM-1013_B44V8"	1.94756455473104	-0.897257767387203	0.128801411840175	"IS"
"HMP2_J28573_1_ST_T0_B0_0120_ZN3TBJM-1014_B44V8"	1.28684288945052	-0.504124983920698	1.02630906871348	"IS"
"HMP2_J28574_1_ST_T0_B0_0120_ZN3TBJM-1015_B44V8"	1.97543376313364	-0.938887381087112	0.113521488324536	"IS"
"HMP2_J28581_1_ST_T0_B0_0120_ZMBVNFM-1012_B44V8"	2.62679001183534	-1.13215644308775	-0.428338371140832	"IS"
"HMP2_J28582_1_ST_T0_B0_0120_ZMBVNFM-1013_B44V8"	0.770456127031255	0.109259076856019	0.965130363061009	"IS"
"HMP2_J28583_1_ST_T0_B0_0120_ZMBVNFM-1014_B44V8"	0.937753146989654	-0.130344024677628	1.15291630569926	"IS"
"HMP2_J28595_1_ST_T0_B0_0120_ZM8YXDM-01-AL1_AL5DH"	1.7376326167208	-0.496984433805995	-0.14274794848622	"IR"
"HMP2_J28603_1_ST_T0_B0_0120_ZN3TBJM-2011_AWBGH"	1.52030998533522	-0.592330426050523	0.516389381344405	"IS"
"HMP2_J28605_1_ST_T0_B0_0120_ZN3TBJM-2013_AWBGH"	0.531924703837056	-0.553756307446128	2.52394080911506	"IS"
"HMP2_J28606_1_ST_T0_B0_0120_ZN3TBJM-2014_AWBGH"	1.02478609617352	-0.198438552361375	-0.034402861022476	"IS"
"HMP2_J28607_1_ST_T0_B0_0120_ZN3TBJM-2022_AWBGH"	1.48714055657003	0.180548827376767	-1.21391647977796	"IS"
"HMP2_J28608_1_ST_T0_B0_0120_ZN3TBJM-2023_AWBGH"	2.66173452016346	-0.732128224871477	-2.51468653392221	"IS"
"HMP2_J28609_1_ST_T0_B0_0120_ZN3TBJM-2032_AWBGH"	0.576678023250755	-0.445142527511662	-0.368208921436486	"IS"
"HMP2_J28611_1_ST_T0_B0_0120_ZN0JE53-2012_AWBGH"	1.54160622525717	1.34377226643162	-3.84131319103862	"IS"
"HMP2_J28612_1_ST_T0_B0_0120_ZN0JE53-2013_AWBGH"	2.61850265021706	-0.81200145090327	-1.57681997990256	"IS"
"HMP2_J28613_1_ST_T0_B0_0120_ZN0JE53-2014_AWBGH"	1.88279531665071	-0.625055603833992	-0.102993167429355	"IS"
"HMP2_J28615_1_ST_T0_B0_0120_ZN0JE53-2022_AWBGH"	2.15431226306009	-0.716021736204575	-0.55790072832769	"IS"
"HMP2_J28616_1_ST_T0_B0_0120_ZN0JE53-2023_AWBGH"	2.23053122896329	-0.333046554600802	-2.09020308778218	"IS"
"HMP2_J28617_1_ST_T0_B0_0120_ZMBVNFM-2012_AWBGH"	0.493674249428505	0.757236013708179	-0.0615566877143893	"IS"
"HMP2_J28618_1_ST_T0_B0_0120_ZMBVNFM-2013_AWBGH"	1.18321189939912	0.483378883858827	-1.79892606429685	"IS"
"HMP2_J28619_1_ST_T0_B0_0120_ZMBVNFM-2015_AWBGH"	1.22318271845661	0.371303111669211	-0.199170512103116	"IS"
"HMP2_J28620_1_ST_T0_B0_0120_ZJTKAE3-2012_AWBGH"	1.91842796443019	-0.392310893737644	0.216048205087704	"IR"
"HMP2_J28621_1_ST_T0_B0_0120_ZJTKAE3-2015_AWBGH"	0.978316212427371	0.340017454635685	-0.0340457161748278	"IR"
"HMP2_J28625_1_ST_T0_B0_0120_ZN3TBJM-2025_AVTWA"	1.16637902462679	-0.296402936725903	1.490611409533	"IS"
"HMP2_J28630_1_ST_T0_B0_0120_ZLZNCLZ-2011_AVTWA"	2.75255826100944	-1.04614948072406	-1.6451740129517	"IS"
"HMP2_J28631_1_ST_T0_B0_0120_ZLZNCLZ-2012_AVTWA"	2.38849847108893	-0.886050550478095	-0.334402832970999	"IS"
"HMP2_J28632_1_ST_T0_B0_0120_ZLZNCLZ-2013_AVTWA"	2.11214096566877	-0.109370713644598	-1.62161948471509	"IS"
"HMP2_J28633_1_ST_T0_B0_0120_ZLZNCLZ-2014_AVTWA"	2.16768614037426	-0.64531805346302	-0.182086756535178	"IS"
"HMP2_J28634_1_ST_T0_B0_0120_ZLZNCLZ-2015_AVTWA"	2.13112961601218	-0.836250902196552	-0.0298457612048612	"IS"
"HMP2_J28646_1_ST_T0_B0_0120_ZY7IW45-2011_AVTWA"	1.63002430164473	-0.136555355960789	-0.802766671761273	"IR"
