HMDB	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMDB11482	23260.3779	582521.2439	0.52379545	0.602398252	0.860949714	-4.595119886
HMDB41623	-899.2730389	18222.68352	-0.519777572	0.605178547	0.861113086	-4.595119886
HMDB00159	-158288.9576	6614955.604	-0.49850788	0.61999401	0.878265249	-4.595119887
HMDB00277	-15432.69274	601867.975	-0.493100396	0.62378631	0.878265249	-4.595119887
HMDB04193	27123.56161	453526.2698	0.490817908	0.625390115	0.878265249	-4.595119887
HMDB02639	-45084.91467	533325.6768	-0.486657834	0.628317898	0.878557061	-4.595119888
HMDB04666	5367.936142	69705.09962	0.47654878	0.635457434	0.87929425	-4.595119888
HMDB00114	7725.476683	443265.9167	0.475891683	0.635922725	0.87929425	-4.595119888
HMDB00036	8689.778798	54353.7264	0.474354285	0.637011933	0.87929425	-4.595119888
HMDB00872	4351.775291	97108.78831	0.466416604	0.642648351	0.883299648	-4.595119889
HMDB00603	1319.971535	23883.04146	0.45918764	0.647799959	0.884073103	-4.595119889
HMDB12108	-79341.47412	2439219.973	-0.457947861	0.648685218	0.884073103	-4.595119889
HMDB01015	-2757.65531	130083.99	-0.450265968	0.654181759	0.887818101	-4.595119889
HMDB28783|HMDB29014|	-42921.96062	1338485.639	-0.443311249	0.659174649	0.887876232	-4.59511989
HMDB11559	3129.642671	51972.29661	0.442113614	0.66003603	0.887876232	-4.59511989
HMDB03736	215670.0605	8754608.815	0.435221101	0.66500233	0.887876232	-4.59511989
HMDB02007	3444.772353	53620.14601	0.434336207	0.665641027	0.887876232	-4.59511989
HMDB00210	-28600.18008	518930.6094	-0.43096337	0.668077746	0.887876232	-4.59511989
HMDB00907	17049.5718	235125.6878	0.42053584	0.675633784	0.887876232	-4.595119891
HMDB12104	-197238.6212	7030581.859	-0.420399532	0.675732781	0.887876232	-4.595119891
HMDB04702	-5126.450428	161557.6787	-0.419735217	0.676215335	0.887876232	-4.595119891
HMDB00641	-6310.988008	506458.2817	-0.405810956	0.686360976	0.897548969	-4.595119891
HMDB00017	-4736.121714	45604.80611	-0.383796708	0.70251954	0.911095855	-4.595119892
HMDB11481	3149.443109	135360.2586	0.382367173	0.703573708	0.911095855	-4.595119892
HMDB11542	-1353.933309	18994.00544	-0.373198775	0.710348491	0.911095855	-4.595119893
HMDB10381	44488.66363	1732281.462	0.371304235	0.711751373	0.911095855	-4.595119893
HMDB11475	-35019.15794	1215212.302	-0.361225915	0.719230967	0.911095855	-4.595119893
HMDB00512	550.0762531	9790.596352	0.360097943	0.720069823	0.911095855	-4.595119893
HMDB01918	3877.3721	191125.0835	0.35893617	0.720934177	0.911095855	-4.595119893
HMDB13124	124512.0603	762570.58	0.35783704	0.721752263	0.911095855	-4.595119893
HMDB00949	1169.703597	158948.6131	0.357360665	0.722106931	0.911095855	-4.595119893
HMDB11171	-962.3663889	33397.95875	-0.351715314	0.72631463	0.91283901	-4.595119893
HMDB10398	2054.37497	24427.33699	0.342837929	0.732948412	0.913130349	-4.595119894
HMDB00387	1139.26464	39632.44733	0.34103728	0.734296498	0.913130349	-4.595119894
HMDB01999	-100785.166	1932586.209	-0.340061309	0.735027526	0.913130349	-4.595119894
HMDB06547	10207.55216	269008.7333	0.325962264	0.745615256	0.918543463	-4.595119894
HMDB00139	22698.98937	942400.8846	0.325345995	0.746079188	0.918543463	-4.595119894
HMDB12881	8023.490057	230643.6595	0.31878312	0.751025606	0.918543463	-4.595119894
HMDB00669	-9621.604555	91622.01634	-0.317250937	0.752181928	0.918543463	-4.595119894
HMDB04193	6634.308434	150536.4591	0.315367964	0.75360377	0.918543463	-4.595119895
HMDB11473	-34212.64846	1116301.294	-0.302924268	0.763021409	0.926525996	-4.595119895
HMDB13302	-561.1831417	18563.764	-0.297676792	0.767003708	0.927448352	-4.595119895
HMDB00650	3869.645145	178495.3617	0.284755217	0.776836608	0.927448352	-4.595119895
HMDB00709	-40156.62837	2542773.674	-0.284699504	0.776879084	0.927448352	-4.595119895
HMDB11756|HMDB61684	-413.5656757	12369.94445	-0.282137415	0.778833204	0.927448352	-4.595119896
HMDB00625	52641.5458	1817566.058	0.278777604	0.781397925	0.927448352	-4.595119896
HMDB11483	4046.812823	88503.13879	0.277095378	0.782682976	0.927448352	-4.595119896
HMDB00897	651.7182066	61498.74643	0.272573512	0.78614023	0.927448352	-4.595119896
HMDB00138	42324.84012	464609.7223	0.271774141	0.786751853	0.927448352	-4.595119896
HMDB00387	4247.280239	156814.4842	0.262334336	0.793984639	0.931573026	-4.595119896
HMDB11536	1182.008167	25111.65916	0.259683444	0.796019056	0.931573026	-4.595119896
HMDB00036	29487.22016	215118.6876	0.249463757	0.803875319	0.93737086	-4.595119896
HMDB00078	-16971.12155	1177043.787	-0.234770829	0.81520584	0.944471802	-4.595119897
HMDB02639	-13248.60609	218703.7084	-0.233984835	0.815813105	0.944471802	-4.595119897
HMDB00782	903.6302572	41858.38641	0.230049658	0.818855151	0.944607906	-4.595119897
HMDB01860	-63145.19378	1674057.626	-0.21472718	0.830726285	0.954702795	-4.595119897
