HMDB	fold_change	pval	adj_pval
HMDB61116	0.029747716	0.845200031	0.922295979
HMDB00159	-0.02018641	0.852455125	0.927080827
HMDB03818	-0.02114273	0.85559455	0.927372616
HMDB0000248	0.020664106	0.858960449	0.927907107
HMDB29159	0.022695857	0.869992978	0.936692439
HMDB11531	0.031148281	0.880632216	0.944997361
HMDB00479	-0.007855901	0.884390264	0.945887601
HMDB04207	0.013911323	0.890294227	0.949059523
HMDB02639	-0.039512587	0.897917539	0.953521883
HMDB02226	-0.010103025	0.90038444	0.953521883
HMDB00872	-0.009959227	0.912832924	0.959659716
HMDB00696	-0.010943568	0.915831013	0.959659716
HMDB60485	-0.011638301	0.915985118	0.959659716
HMDB02320	-0.031391091	0.918064558	0.959659716
HMDB00024	-0.005785389	0.924754099	0.960869079
HMDB00078	-0.008393842	0.930975177	0.960869079
HMDB00064	0.020808803	0.930979051	0.960869079
HMDB00510	0.017293744	0.93112081	0.960869079
HMDB29412	0.004625286	0.938561861	0.965463315
HMDB00062	-0.006442809	0.946507302	0.970545582
HMDB11542	0.006297644	0.951715183	0.972797481
HMDB10384	-0.015330413	0.957406667	0.975487133
HMDB12097	-0.005737361	0.960386713	0.975487133
HMDB01032	-0.003584548	0.968682749	0.978569151
HMDB29006	-0.008673156	0.971610395	0.978569151
HMDB13324	0.003148219	0.9725099	0.978569151
HMDB05066	0.000982185	0.986605745	0.989669738
HMDB00791	0.000226779	0.999617626	0.999617626
