	logFC	AveExpr	t	P.Value	adj.P.Val	B
pHILIC_219.0795_5	-42921.96062	1338485.639	-0.443311249	0.659174649	0.887876232	-4.59511989
nRPLC_439.3792_11.1	3129.642671	51972.29661	0.442113614	0.66003603	0.887876232	-4.59511989
nRPLC_129.0558_1	215670.0605	8754608.815	0.435221101	0.66500233	0.887876232	-4.59511989
nRPLC_355.2643_10.9	3444.772353	53620.14601	0.434336207	0.665641027	0.887876232	-4.59511989
nHILIC_218.1032_6.5	-28600.18008	518930.6094	-0.43096337	0.668077746	0.887876232	-4.59511989
nRPLC_455.2472_11	17049.5718	235125.6878	0.42053584	0.675633784	0.887876232	-4.595119891
pHILIC_785.6497_5.6	-197238.6212	7030581.859	-0.420399532	0.675732781	0.887876232	-4.595119891
nRPLC_295.2279_9.6	-5126.450428	161557.6787	-0.419735217	0.676215335	0.887876232	-4.595119891
pHILIC_147.0763_9.7	-6310.988008	506458.2817	-0.405810956	0.686360976	0.897548969	-4.595119891
nRPLC_182.0458_1	-4736.121714	45604.80611	-0.383796708	0.70251954	0.911095855	-4.595119892
nRPLC_508.3404_10.6	3149.443109	135360.2586	0.382367173	0.703573708	0.911095855	-4.595119892
nRPLC_385.332_10.8	-1353.933309	18994.00544	-0.373198775	0.710348491	0.911095855	-4.595119893
pRPLC_482.324_9.7	44488.66363	1732281.462	0.371304235	0.711751373	0.911095855	-4.595119893
nRPLC_478.2939_10.1	-35019.15794	1215212.302	-0.361225915	0.719230967	0.911095855	-4.595119893
nRPLC_206.0821_3.4	550.0762531	9790.596352	0.360097943	0.720069823	0.911095855	-4.595119893
pRPLC_777.6945_7.2	3877.3721	191125.0835	0.35893617	0.720934177	0.911095855	-4.595119893
pHILIC_216.1227_7	124512.0603	762570.58	0.35783704	0.721752263	0.911095855	-4.595119893
nRPLC_365.2333_9.7	1169.703597	158948.6131	0.357360665	0.722106931	0.911095855	-4.595119893
pRPLC_261.1446_0.8	-962.3663889	33397.95875	-0.351715314	0.72631463	0.91283901	-4.595119893
pRPLC_580.4347_11.8	2054.37497	24427.33699	0.342837929	0.732948412	0.913130349	-4.595119894
nRPLC_215.1652_8.1	1139.26464	39632.44733	0.34103728	0.734296498	0.913130349	-4.595119894
nRPLC_301.2173_10.3	-100785.166	1932586.209	-0.340061309	0.735027526	0.913130349	-4.595119894
