HMDB	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMDB60484	-0.115602415	4.267207726	-1.127041667	0.264195663	0.680807951	-5.554043331
HMDB02013	-0.04402178	5.410532606	-1.038078669	0.303383626	0.720536112	-5.645843679
HMDB02366	-0.051961607	3.984461339	-0.879859923	0.382432865	0.742158562	-5.791082104
HMDB00705	0.079327303	4.928254027	1.452863386	0.151452734	0.574711985	-5.1569038
HMDB11171	-0.002226185	4.506782589	-0.069088413	0.945148142	0.967329921	-6.162727841
HMDB11171	-0.000899121	4.724077086	-0.030076205	0.976105732	0.988345303	-6.164609059
HMDB06344	-0.131617907	5.867452366	-2.10051073	0.039879476	0.415518409	-4.097626056
HMDB00305	0.031504795	5.866301485	1.062656989	0.292180371	0.718357772	-5.621206156
HMDB29377	-0.010555127	6.09615668	-0.115015987	0.908815092	0.948708981	-6.158616598
HMDB29377	-0.034578928	6.081918103	-0.401668136	0.689350192	0.883571874	-6.086700271
HMDB13324	0.122054345	5.790764177	2.73983841	0.008076151	0.163089354	-2.733832192
HMDB00791	0.047722506	5.73730737	0.753394063	0.454148594	0.784262094	-5.890373109
HMDB00594	0.002907457	4.532913198	0.127684982	0.898823698	0.94566793	-6.15712172
HMDB04824	0.014954841	4.331204737	0.623960134	0.535010292	0.810775935	-5.97635581
HMDB13325	0.077752248	4.76545357	1.607296203	0.113220421	0.526852841	-4.936076882
HMDB13302	-0.019161893	4.25522749	-0.710631214	0.480055969	0.789845474	-5.920537918
HMDB13205	0.076104749	5.70697573	1.496695974	0.139695367	0.57115954	-5.096318511
HMDB00651	0.018603422	6.101278401	0.299851849	0.76532273	0.900089489	-6.121359295
HMDB13326	0.038442641	5.654512185	0.825865353	0.412140365	0.742158562	-5.835311997
HMDB02250	0.029230568	5.590698447	0.609846932	0.54425755	0.814630175	-5.98476823
HMDB29006	0.002808029	4.830236333	0.06755192	0.946366114	0.967329921	-6.162829929
HMDB60061	-0.04506317	5.162584217	-1.45332005	0.151326375	0.574711985	-5.156281216
HMDB11131	-0.012221279	6.394100941	-0.356018746	0.723070725	0.891419253	-6.103478474
HMDB13331	0.062867528	5.467922976	1.123990591	0.265477533	0.680807951	-5.55731148
HMDB02014	0.046683303	5.731890347	0.948485912	0.346672931	0.740959715	-5.730937681
HMDB00277	-0.010107351	5.770945576	-0.433886855	0.665921079	0.863825335	-6.073648387
HMDB01383	-0.074269722	4.608845492	-1.770071359	0.081777165	0.500902503	-4.681368896
HMDB06461	0.059463418	5.601046673	1.761060387	0.083304709	0.500902503	-4.696047976
HMDB05065	0.02380842	5.750576024	0.903576294	0.369820452	0.742158562	-5.770792996
HMDB11152	-0.035513534	5.100143936	-0.97772041	0.332124044	0.738442029	-5.703986839
HMDB11473	-0.00463836	6.02482931	-0.132496791	0.895033081	0.944757142	-6.156513079
HMDB10379	0.039640755	6.60108936	0.944502765	0.348686925	0.740959715	-5.734548327
HMDB11477	0.060309389	6.638517648	1.675793464	0.098963703	0.52402092	-4.831604847
HMDB10407	-0.034601248	6.074662801	-1.317289307	0.19273184	0.579105057	-5.333643325
HMDB11129	0.016768035	5.899809323	0.467509331	0.641822869	0.854357794	-6.058961807
HMDB10381	0.003213765	6.22304922	0.103259818	0.918099867	0.953524943	-6.159864225
HMDB10383	0.044671045	6.740400808	1.0737533	0.287216963	0.718357772	-5.609901476
HMDB10382	0.012857136	8.0067734	0.669007834	0.506047145	0.789845474	-5.948235134
HMDB11487	0.020047285	6.556216688	0.72432961	0.471668142	0.789845474	-5.911063439
HMDB11484	0.08537283	5.261929253	2.02100552	0.047731428	0.453448565	-4.246023966
HMDB10408	-0.007732545	5.184150154	-0.229539738	0.819227276	0.915606955	-6.139438287
HMDB11482	0.011375379	5.745848385	0.327123203	0.744709075	0.900089489	-6.113058494
HMDB13122	-0.024860813	5.814340076	-0.846600519	0.400569586	0.742158562	-5.818649695
HMDB12108	-0.020164758	6.370799192	-0.633705488	0.528672666	0.805477693	-5.970436105
HMDB11149	-0.026905844	5.291120685	-0.710067911	0.480402668	0.789845474	-5.920923722
HMDB10386	-0.002787237	7.776288499	-0.098755917	0.921660062	0.954154487	-6.16030661
